OLD_CODE;NEW_CODE
asg-bp9-17301;pistolet-pnevmaticheskiy-asg-bersa-bp9cc-17301-blowback-kal-4-5-mm
smersh-h1-pm;pnevmaticheskiy-pistolet-smersh-h1-pm-blowback
smersh-h52-uzi;pnevmaticheskiy-pistolet-smersh-h52-uzi-blowback
tt_smersh_h51;pnevmaticheskiy_pistolet_tt_smersh_h51
smersh-h-9;pnevmaticheskiy-pistolet-smersh-h-9-blowback
smersh_h_13;pnevmaticheskiy_pistolet_smersh_h_13_4_5mm
smersh_h14;pnevmaticheskiy_pistolet_smersh_h14_4_5mm
smersh_h18;pnevmaticheskiy_pistolet_smersh_h18_4_5mm
smersh_h_20;pnevmaticheskiy_pistolet_smersh_h_20_4_5mm
tir_ppa_k_01;pnevmaticheskiy_pistolet_tireks_ppa_k_01_so_skladnym_prikladom
cyb-gsg-ber-92;pnevmaticheskiy-pistolet-gsg-92-blowback
asg_dan_25_s;pnevmaticheskiy_pistolet_asg_dan_wesson_2_5_serebristyy_silver
asg_wes_4_d;pnevmaticheskiy_pistolet_asg_dan_wesson_4_dyuyma
asg_dan_25_g;pnevmaticheskiy_pistolet_asg_dan_wesson_2_5_gold
asg_sti_dut_one;pnevmaticheskiy_pistolet_asg_sti_duty_one
asg-75-07-16533;pnevmaticheskiy-pistolet-asg-cz-75-p-07-duty-dt-blowback-dvutsvetnyy-16533-
com-100;pnevmaticheskaya_vintovka_cometa_100
g-forest;gamo_forest
d-p1000-p1000-TH;pnevmaticheskaya_vintovka_diana_p1000_p1000_th
g-h-dx-c;gamo_hunter_dx_combo
fx-ind;pnevmaticheskaya_vintovka_fx_independence
d-31-cam;pnevmaticheskaya_vintovka_diana_31_panther_camo
anik_b_a_2002m;pnevmaticheskiy_pistolet_aniks_berkut_a_2002m_anics_berkut_a_2002_magnum
cros_c_tt;pnevmaticheskiy_pistolet_crosman_c_tt
cyb_m_84;pnevmaticheskiy_pistolet_cybergun_m_84
c-pcp-ch2009s;crosman_pcp_challenger_ch2009s_plastik
gamo_p23_com_l;pnevmaticheskiy_pistolet_gamo_p_23_combo_laser
atam-115-rb;pnevmaticheskaya_vintovka_karabin_ataman_m2r
u-cx4-s-com-ii;pnevmaticheskaya_vintovka_umarex_cx4_storm_commando_ii
um-br-pho;pnevmaticheskaya_vintovka_umarex_browning_phoenix
cros-rg177d;crosman_rem_genesis_rg177d
c-np-8-bt1k77snp;crosman_trail_np_8_bt1k77snp_plastik
c-8-bt1k77wnp;crosman_trail_np_8_bt1k77wnp_derevo
c-08-rnp77xdcm;crosman_rem_npss_8_rnp77xdcm
glet_clt_1911;pnevmaticheskiy_pistolet_gletcher_clt_1911
glet_92fs_auto;pnevmaticheskiy_pistolet_gletcher_brt_92fs_auto
g-b-c-1250;gamo_big_cat_1250_plastik
gam-cfr-w;gamo_cfr_whisper_plastik
g-s-c;gamo_shadow_csi_camo_plastik
g-delta;gamo_delta_plastik
g-d-f-whi;gamo_delta_fox_whisper_plastik
g-xtr-co2;gamo_extreme_co2_plastik
g-h-dx;gamo_hunter_dx_derevo
g-h-evo;gamo_hunter_evo_derevo
g-h-igt;gamo_hunter_igt_derevo
alfa-17-camo;alfamax_mod_17_camo
g-shad-dx;gamo_shadow_dx_plastik
g-shad-igt;gamo_shadow_igt_plastik
bor_pm49;pnevmaticheskiy_pistolet_borner_pm49
g-soc-1250;gamo_socom_1250_plastik
g-soc-car-lux;gamo_socom_carbine_luxe_plastik
g-soc-tac;gamo_socom_tactical_plastik
g-vip-bar;gamo_viper_barricade_plastik
g-whis-igt;gamo_whisper_igt_plastik
d-280;pnevmaticheskaya_vintovka_diana_280
hat-33-mw-tr-p;hatsan_33_mw_tr_plastik
h-33-tr-pl;hatsan_33_tr_plastik
ha-35s-tr;hatsan_35s_tr
hat-at44-10-w;hatsan_at44_10_wood_derevo
bor_wc_401;pnevmaticheskiy_pistolet_borner_wc401
glet_aps_stec;pnevmaticheskiy_pistolet_gletcher_aps_stechkina_aps_blowback
h-a44x-10-w-d;hatsan_at44x_10_wood_derevo
h-bt-65-sb-w;hatsan_bt_65_sb_w
h-bt-65-rb-elite;hatsan_bt_65_rb_elite
h-bt-65-sb-el;hatsan_bt_65_sb_elite
